shortname,longname,unit,group
RESTING_02_AAL_1,Precentral_L,,atlas
RESTING_02_AAL_2,Precentral_R,,atlas
RESTING_02_AAL_3,Frontal_Sup_L,,atlas
RESTING_02_AAL_4,Frontal_Sup_R,,atlas
RESTING_02_AAL_5,Frontal_Sup_Orb_L,,atlas
RESTING_02_AAL_6,Frontal_Sup_Orb_R,,atlas
RESTING_02_AAL_7,Frontal_Mid_L,,atlas
RESTING_02_AAL_8,Frontal_Mid_R,,atlas
RESTING_02_AAL_9,Frontal_Mid_Orb_L,,atlas
RESTING_02_AAL_10,Frontal_Mid_Orb_R,,atlas
RESTING_02_AAL_11,Frontal_Inf_Oper_L,,atlas
RESTING_02_AAL_12,Frontal_Inf_Oper_R,,atlas
RESTING_02_AAL_13,Frontal_Inf_Tri_L,,atlas
RESTING_02_AAL_14,Frontal_Inf_Tri_R,,atlas
RESTING_02_AAL_15,Frontal_Inf_Orb_L,,atlas
RESTING_02_AAL_16,Frontal_Inf_Orb_R,,atlas
RESTING_02_AAL_17,Rolandic_Oper_L,,atlas
RESTING_02_AAL_18,Rolandic_Oper_R,,atlas
RESTING_02_AAL_19,Supp_Motor_Area_L,,atlas
RESTING_02_AAL_20,Supp_Motor_Area_R,,atlas
RESTING_02_AAL_21,Olfactory_L,,atlas
RESTING_02_AAL_22,Olfactory_R,,atlas
RESTING_02_AAL_23,Frontal_Sup_Medial_L,,atlas
RESTING_02_AAL_24,Frontal_Sup_Medial_R,,atlas
RESTING_02_AAL_25,Frontal_Med_Orb_L,,atlas
RESTING_02_AAL_26,Frontal_Med_Orb_R,,atlas
RESTING_02_AAL_27,Rectus_L,,atlas
RESTING_02_AAL_28,Rectus_R,,atlas
RESTING_02_AAL_29,Insula_L,,atlas
RESTING_02_AAL_30,Insula_R,,atlas
RESTING_02_AAL_31,Cingulum_Ant_L,,atlas
RESTING_02_AAL_32,Cingulum_Ant_R,,atlas
RESTING_02_AAL_33,Cingulum_Mid_L,,atlas
RESTING_02_AAL_34,Cingulum_Mid_R,,atlas
RESTING_02_AAL_35,Cingulum_Post_L,,atlas
RESTING_02_AAL_36,Cingulum_Post_R,,atlas
RESTING_02_AAL_37,Hippocampus_L,,atlas
RESTING_02_AAL_38,Hippocampus_R,,atlas
RESTING_02_AAL_39,ParaHippocampal_L,,atlas
RESTING_02_AAL_40,ParaHippocampal_R,,atlas
RESTING_02_AAL_41,Amygdala_L,,atlas
RESTING_02_AAL_42,Amygdala_R,,atlas
RESTING_02_AAL_43,Calcarine_L,,atlas
RESTING_02_AAL_44,Calcarine_R,,atlas
RESTING_02_AAL_45,Cuneus_L,,atlas
RESTING_02_AAL_46,Cuneus_R,,atlas
RESTING_02_AAL_47,Lingual_L,,atlas
RESTING_02_AAL_48,Lingual_R,,atlas
RESTING_02_AAL_49,Occipital_Sup_L,,atlas
RESTING_02_AAL_50,Occipital_Sup_R,,atlas
RESTING_02_AAL_51,Occipital_Mid_L,,atlas
RESTING_02_AAL_52,Occipital_Mid_R,,atlas
RESTING_02_AAL_53,Occipital_Inf_L,,atlas
RESTING_02_AAL_54,Occipital_Inf_R,,atlas
RESTING_02_AAL_55,Fusiform_L,,atlas
RESTING_02_AAL_56,Fusiform_R,,atlas
RESTING_02_AAL_57,Postcentral_L,,atlas
RESTING_02_AAL_58,Postcentral_R,,atlas
RESTING_02_AAL_59,Parietal_Sup_L,,atlas
RESTING_02_AAL_60,Parietal_Sup_R,,atlas
RESTING_02_AAL_61,Parietal_Inf_L,,atlas
RESTING_02_AAL_62,Parietal_Inf_R,,atlas
RESTING_02_AAL_63,SupraMarginal_L,,atlas
RESTING_02_AAL_64,SupraMarginal_R,,atlas
RESTING_02_AAL_65,Angular_L,,atlas
RESTING_02_AAL_66,Angular_R,,atlas
RESTING_02_AAL_67,Precuneus_L,,atlas
RESTING_02_AAL_68,Precuneus_R,,atlas
RESTING_02_AAL_69,Paracentral_Lobule_L,,atlas
RESTING_02_AAL_70,Paracentral_Lobule_R,,atlas
RESTING_02_AAL_71,Caudate_L,,atlas
RESTING_02_AAL_72,Caudate_R,,atlas
RESTING_02_AAL_73,Putamen_L,,atlas
RESTING_02_AAL_74,Putamen_R,,atlas
RESTING_02_AAL_75,Pallidum_L,,atlas
RESTING_02_AAL_76,Pallidum_R,,atlas
RESTING_02_AAL_77,Thalamus_L,,atlas
RESTING_02_AAL_78,Thalamus_R,,atlas
RESTING_02_AAL_79,Heschl_L,,atlas
RESTING_02_AAL_80,Heschl_R,,atlas
RESTING_02_AAL_81,Temporal_Sup_L,,atlas
RESTING_02_AAL_82,Temporal_Sup_R,,atlas
